Data Point,1_clusters,2_clusters,3_clusters,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters,9_clusters,10_clusters
142,0,1,1,3,3,3,4,2,2,2
143,0,0,0,0,0,0,0,0,0,0
144,0,0,2,2,2,2,2,7,7,7
145,0,0,2,2,2,2,3,7,7,8
146,0,0,2,2,2,2,3,7,8,8
147,0,1,1,3,1,1,1,1,1,1
148,0,1,1,1,4,4,6,5,3,5
149,0,1,1,3,1,1,1,1,1,1
150,0,1,1,3,3,3,4,2,2,2
151,0,1,1,3,3,3,4,2,2,0
152,0,0,2,2,2,2,2,7,7,7
153,0,0,2,2,2,2,3,7,8,8
154,0,0,2,2,2,5,5,6,6,6
155,0,1,2,2,2,2,2,7,7,7
156,0,0,0,0,0,0,0,0,0,9
157,0,1,2,2,2,2,3,7,8,8
158,0,0,0,0,0,0,0,0,0,9
159,0,1,1,3,3,3,4,2,2,0
160,0,1,2,2,2,2,3,7,8,8
161,0,1,2,1,4,4,6,3,3,5
162,0,1,2,2,3,2,3,1,8,8
163,0,0,0,0,0,0,0,0,0,9
164,0,1,1,3,3,3,4,2,2,2
165,0,1,2,2,1,1,1,1,1,1
166,0,1,2,2,2,2,2,7,7,7
167,0,1,1,3,3,3,4,2,2,2
168,0,0,2,2,2,2,2,7,7,7
169,0,1,2,1,4,4,6,3,3,5
170,0,0,0,0,0,0,0,0,0,0
171,0,1,1,3,3,3,4,1,1,1
172,0,0,0,0,0,0,0,0,0,0
173,0,1,1,1,4,4,6,5,5,5
174,0,1,2,2,2,2,3,7,8,8
175,0,1,1,3,3,3,4,2,2,2
176,0,0,0,0,2,2,2,7,7,7
177,0,1,1,1,4,4,6,3,3,3
178,0,0,0,0,0,0,0,0,0,0
179,0,1,1,3,3,3,4,2,2,0
180,0,1,1,2,2,2,2,7,7,7
181,0,1,1,3,3,3,2,2,7,7
182,0,1,2,2,2,2,2,7,7,7
183,0,1,1,2,2,2,2,7,7,7
184,0,1,2,2,2,2,3,7,8,8
