Data Point,1_clusters,2_clusters,3_clusters,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters,9_clusters,10_clusters
615,0,0,2,2,2,2,3,7,8,8
616,0,1,1,3,3,3,4,2,2,2
617,0,1,2,2,1,1,1,4,4,4
618,0,1,2,2,2,2,2,7,7,7
619,0,1,1,3,3,3,4,2,2,2
620,0,1,2,2,1,1,1,1,1,1
621,0,1,1,3,3,3,4,2,2,2
622,0,0,2,2,2,2,2,7,7,7
623,0,1,2,2,2,2,3,7,8,8
624,0,1,2,2,2,2,2,7,7,7
625,0,1,2,2,2,2,3,7,8,8
626,0,1,1,3,3,3,4,2,2,2
627,0,1,1,1,4,4,6,5,5,5
628,0,1,2,1,4,4,6,3,3,5
629,0,0,0,0,0,0,0,0,0,0
630,0,0,0,0,0,0,0,2,7,0
631,0,1,1,3,1,1,1,1,1,1
632,0,1,1,1,4,4,6,5,5,3
633,0,0,0,0,0,0,0,0,0,9
634,0,1,1,3,3,3,4,2,2,2
635,0,1,1,2,2,2,2,7,7,7
636,0,1,1,1,4,4,6,3,5,5
637,0,1,1,3,3,3,4,2,2,2
638,0,1,1,3,3,3,4,1,1,1
639,0,0,2,2,2,2,3,7,8,8
640,0,1,1,3,3,3,4,2,2,2
641,0,1,1,1,4,4,6,5,5,3
642,0,1,1,3,3,3,4,2,2,2
643,0,0,0,2,2,2,2,7,7,7
644,0,0,0,0,0,0,0,0,0,9
645,0,0,0,1,4,4,6,3,3,3
646,0,1,1,3,3,3,2,5,7,7
647,0,1,1,3,1,3,4,1,1,1
648,0,1,1,1,4,4,6,5,5,5
649,0,1,1,1,4,4,6,3,5,5
650,0,1,2,1,4,4,6,3,3,5
651,0,1,1,1,4,4,6,3,3,5
652,0,1,1,1,4,4,6,5,3,3
653,0,1,2,2,2,2,2,7,7,7
654,0,1,1,3,3,3,4,2,2,0
655,0,1,1,1,4,4,6,1,5,5
656,0,0,0,0,0,0,0,0,0,0
657,0,1,1,1,4,4,6,3,3,3
658,0,1,1,3,3,3,2,2,7,2
659,0,1,1,1,4,4,6,3,3,5
660,0,1,1,1,4,4,6,3,3,3
661,0,1,1,3,3,3,4,2,2,2
662,0,1,1,3,3,3,4,2,2,0
663,0,0,0,1,4,4,6,3,3,3
664,0,1,1,3,1,3,4,1,1,1
665,0,1,1,1,4,4,6,3,5,5
666,0,0,0,0,0,0,0,0,0,9
667,0,1,1,1,4,4,6,5,5,5
668,0,1,1,3,1,1,1,1,1,1
669,0,1,1,1,4,4,6,3,5,5
670,0,0,0,1,4,4,6,3,3,3
671,0,1,1,2,2,2,2,7,7,7
672,0,1,1,3,1,1,1,1,1,1
673,0,1,2,2,2,2,3,7,8,8
674,0,1,2,1,4,4,6,3,3,3
675,0,1,1,3,3,3,4,2,2,2
676,0,0,0,0,0,0,3,0,0,9
677,0,0,0,0,0,0,0,0,0,0
678,0,1,1,3,3,3,4,2,2,2
679,0,1,2,2,2,2,2,7,7,7
680,0,0,2,2,2,2,3,7,8,8
681,0,0,0,0,0,0,0,0,0,9
682,0,0,0,0,0,0,0,3,3,3
683,0,1,1,1,4,4,6,5,5,5
684,0,1,2,2,2,2,2,7,7,7
685,0,1,1,3,3,3,2,2,7,0
686,0,0,0,0,0,0,0,0,0,0
687,0,1,1,3,3,3,4,2,2,2
688,0,0,0,0,0,0,0,3,3,3
689,0,1,1,1,4,4,6,5,5,5
690,0,1,1,3,1,3,4,1,1,1
691,0,0,0,1,4,4,6,3,3,3
692,0,1,1,3,3,3,4,2,2,2
693,0,1,1,3,3,3,2,5,7,7
694,0,1,1,3,3,3,4,2,2,2
695,0,1,1,3,3,3,2,5,7,7
696,0,1,2,2,2,2,3,7,8,8
697,0,1,2,2,2,2,3,7,8,8
698,0,0,0,0,0,0,0,0,0,9
699,0,0,2,2,2,2,3,7,8,8
700,0,1,1,1,4,4,6,5,5,5
701,0,0,0,0,0,0,0,0,0,9
702,0,0,0,0,2,2,0,7,0,9
703,0,0,2,2,2,2,3,7,8,8
704,0,0,0,1,4,4,6,3,3,3
705,0,1,2,3,1,1,1,1,1,1
706,0,1,1,3,3,3,4,2,2,2
707,0,1,2,2,2,2,2,7,7,7
708,0,0,0,0,0,0,0,0,0,9
709,0,0,0,0,0,0,0,0,7,9
710,0,1,1,1,4,4,6,5,5,5
711,0,1,2,2,2,2,2,7,7,7
712,0,1,1,3,3,3,4,2,2,2
713,0,1,2,3,1,3,3,1,1,1
714,0,0,0,0,0,0,0,0,0,9
715,0,1,1,3,3,3,4,2,2,2
716,0,1,2,1,1,1,1,4,4,4
717,0,1,1,3,3,3,4,1,1,1
718,0,1,2,2,1,1,1,4,4,4
719,0,0,0,0,0,0,0,0,0,9
720,0,1,1,3,3,3,4,2,2,2
721,0,1,2,2,2,2,2,7,7,7
722,0,1,1,3,3,3,2,5,5,2
723,0,1,1,1,4,4,6,5,5,3
724,0,1,1,3,3,3,4,2,2,2
725,0,1,1,1,4,4,6,3,3,3
726,0,1,2,2,1,1,3,1,8,8
727,0,0,2,2,1,1,1,4,4,4
728,0,1,1,3,3,3,4,2,2,2
729,0,1,1,3,3,3,4,2,2,2
730,0,0,2,2,2,2,2,7,7,7
731,0,1,2,2,2,2,3,7,8,8
732,0,0,0,0,0,0,0,0,0,9
733,0,1,1,3,3,3,4,2,2,2
734,0,1,1,1,4,4,6,5,5,5
735,0,1,1,3,3,3,4,2,2,0
736,0,1,2,2,2,5,5,6,6,6
737,0,1,1,3,3,3,4,1,1,1
738,0,1,1,3,3,3,4,2,2,2
739,0,0,2,2,2,2,3,7,8,8
740,0,1,1,3,1,1,1,1,1,1
741,0,1,1,3,3,3,4,2,2,2
742,0,1,1,3,3,2,2,7,2,2
743,0,1,2,2,1,1,1,4,4,4
744,0,1,2,2,2,2,2,7,7,7
745,0,1,2,2,2,2,3,7,8,8
746,0,1,1,3,3,3,2,2,7,7
747,0,1,2,2,2,2,2,7,7,7
748,0,1,1,1,4,4,6,5,5,5
749,0,1,1,1,4,4,6,5,5,3
750,0,1,1,3,3,3,4,2,2,2
751,0,1,2,2,2,2,3,7,8,8
752,0,1,2,3,1,1,3,1,1,1
753,0,1,1,1,4,4,6,3,3,3
754,0,1,1,1,4,4,6,3,3,3
755,0,0,2,2,2,2,2,7,7,7
756,0,1,1,2,2,2,2,7,7,7
757,0,1,2,1,4,4,6,3,3,5
758,0,1,2,2,2,2,3,7,8,8
759,0,1,2,2,2,2,3,7,8,8
760,0,1,1,3,3,3,4,2,2,2
761,0,1,1,3,3,3,4,2,2,0
762,0,0,2,2,2,2,3,7,7,7
763,0,1,1,3,3,3,4,2,2,2
764,0,1,1,3,3,3,4,1,1,1
765,0,1,1,3,3,3,4,1,1,1
766,0,1,1,3,3,3,4,2,1,0
767,0,1,1,3,3,3,4,1,2,2
768,0,1,1,3,1,3,4,1,1,1
769,0,1,1,3,1,1,1,1,1,1
770,0,0,2,2,2,2,3,7,8,8
771,0,1,1,3,1,1,4,1,1,1
772,0,1,1,1,4,4,6,5,5,3
773,0,1,1,3,3,3,2,2,7,7
774,0,1,1,3,3,3,4,2,1,1
775,0,1,1,1,4,4,6,5,5,5
776,0,0,0,0,0,5,5,6,6,6
777,0,0,0,0,0,0,0,0,0,9
778,0,0,0,0,0,0,0,0,0,9
779,0,1,2,2,1,1,1,4,4,4
780,0,1,1,3,3,3,2,2,7,2
781,0,0,2,2,2,2,2,7,7,7
782,0,1,1,3,3,3,4,2,2,2
783,0,1,1,3,3,3,4,2,2,2
784,0,0,2,2,2,5,5,6,6,6
785,0,0,2,2,2,2,3,7,8,8
786,0,0,2,2,1,1,1,4,4,4
787,0,1,1,3,3,3,2,2,2,2
788,0,1,1,3,1,1,1,1,1,1
789,0,0,2,2,2,2,2,7,7,7
790,0,0,2,2,2,2,2,7,7,7
791,0,1,1,3,3,3,4,2,2,2
792,0,1,2,2,2,2,3,7,8,8
793,0,1,1,3,1,1,1,4,4,4
794,0,1,1,1,4,4,6,3,3,5
795,0,1,1,1,4,4,6,5,5,5
796,0,1,1,1,4,4,6,3,3,5
797,0,1,1,1,4,4,6,5,5,5
798,0,1,2,2,1,1,1,1,1,1
799,0,0,0,1,4,4,6,3,3,3
800,0,0,2,2,2,2,2,7,7,7
801,0,1,1,1,4,4,6,3,3,3
802,0,0,0,0,0,0,0,0,0,9
803,0,1,2,2,2,2,2,7,7,7
804,0,1,2,2,2,2,2,7,7,7
805,0,1,2,2,2,2,3,7,8,8
806,0,0,0,0,0,5,5,6,6,6
807,0,1,1,1,4,4,6,5,5,2
808,0,1,2,2,2,2,3,7,8,8
809,0,1,1,1,4,4,6,3,3,3
810,0,1,2,1,4,4,6,3,3,5
811,0,1,2,2,2,2,3,7,8,8
812,0,0,0,0,0,0,0,0,0,9
813,0,0,0,0,0,0,0,0,0,9
814,0,1,1,3,3,3,4,2,2,2
815,0,1,1,3,3,3,4,2,2,2
816,0,1,2,2,2,2,3,7,8,8
